CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
178,Congo,0.1398,0.1454,0.1762,0.1746,0.2572,0.1802,0.1894,0.2602,0.0832,0.0902,0.1072,0.0848,0.0666,0.1013,0.1065,0.1219,0.1054,0.115,0.1118,0.133,0.1316
188,Costa Rica,0.1543,0.1698,0.1768,0.1716,0.2184,0.1941,0.1878,0.1867,0.1837,0.1763,0.1717,0.1787,0.1907,0.1877,0.1884,0.1819,0.1755,0.1874,0.184,0.1681,0.1596
384,Cote d'Ivoire,0.2424,0.2356,0.1937,0.2474,0.2187,0.2772,0.3023,0.279,0.2252,0.201,0.2262,0.2574,0.2462,0.1874,0.2585,0.2606,0.2315,0.2239,0.2184,0.1794,0.1737
191,Croatia, , , , , ,0.3801,0.3773,0.369,0.3829,0.3883,0.3588,0.365,0.3675,0.3754,0.3529,0.3393,0.3243,0.3248,0.3049,0.3022,0.297
196,Cyprus,0.4435,0.4486,0.4564,0.4712,0.4571,0.4244,0.4327,0.4316,0.4462,0.4312,0.4342,0.4171,0.4191,0.4537,0.412,0.4056,0.4044,0.4048,0.4077,0.3946,0.3694
203,Czech Republic,1.288,1.3439,0.9352,0.886,0.822,0.769,0.752,0.7666,0.7306,0.6579,0.6998,0.6774,0.6407,0.6287,0.6018,0.5547,0.527,0.5032,0.4608,0.4459,0.4497
180,Democratic Republic of the Congo,0.1772,0.1785,0.1922,0.2093,0.1583,0.1882,0.2082,0.1987,0.1749,0.1621,0.1275,0.1239,0.1181,0.1227,0.1312,0.14,0.1439,0.1459,0.1489,0.1397,0.1456
208,Denmark,0.3803,0.462,0.402,0.4234,0.4286,0.3756,0.4544,0.3662,0.3522,0.312,0.2796,0.2881,0.2881,0.3247,0.2881,0.2618,0.2957,0.266,0.2505,0.2517,0.2578
262,Djibouti,0.26,0.2716,0.2811,0.312,0.3149,0.3263,0.3459,0.3517,0.3282,0.347,0.3136,0.2936,0.2972,0.2931,0.3176,0.318,0.313,0.2978,0.3023,0.2923, 
212,Dominica,0.119,0.1182,0.1159,0.1197,0.1333,0.1512,0.1328,0.1452,0.1315,0.1374,0.1764,0.1953,0.1803,0.1858,0.174,0.1819,0.1681,0.2176,0.1718,0.1623,0.1708
214,Dominican Republic,0.347,0.3641,0.3642,0.3619,0.3756,0.4523,0.46,0.4428,0.4238,0.4011,0.4047,0.3999,0.4016,0.4099,0.3473,0.3325,0.3163,0.302,0.2814,0.263,0.2518
218,Ecuador,0.3031,0.2821,0.376,0.4066,0.2189,0.3599,0.3681,0.2706,0.3223,0.3292,0.3152,0.3351,0.3357,0.3492,0.3467,0.3422,0.3242,0.3292,0.2961,0.303,0.3133
818,Egypt,0.4127,0.4232,0.4183,0.4661,0.4105,0.4402,0.4469,0.4492,0.4878,0.4716,0.5045,0.4325,0.4284,0.4829,0.4731,0.5018,0.5017,0.5046,0.4817,0.4627,0.4554
