CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
580,Northern Mariana Islands,82.6,83.7,96.3,86.3,88.1,89.5,66.5,66.7,68.3,67.8,60.2,69.7,54.3,,,,,,,,,
578,Norway,17.1,16.7,15.8,14.8,14.4,13.5,13.6,12.9,12.5,11.8,11.7,10.9,9.8,9.1,8.1,8,8.8,9.2,9.3,9.5,,
512,Oman,,,,100,,,,,,,,,,10.9,,,7.4,7.6,8.1,13.6,12.4,
586,Pakistan,,,73.3,,,,54.7,52.3,38.4,36.2,32.9,24.2,,23.7,,20.3,18.1,16.1,,,,
585,Palau,72.2,64.8,75,79,54.8,78.9,69.3,62.1,42.2,32.5,25.9,22.6,34.7,27,21.7,26.5,,,,,,
591,Panama,87.9,87,86.9,84.8,84.6,87.1,87.2,95.8,88.9,91.1,89.5,89.3,80.6,79.9,84.9,80.2,81.1,83,86.3,88.2,85.7,
598,Papua New Guinea,,,,,77,,,,,,70,,,,,,,,,,,
600,Paraguay,,,,107,,,,87,,,,,63.9,,,,,63,,,,
604,Peru,,,,62,76.8,,,,70.2,,,59,61,61,,64,,69,72,,,
608,Philippines,,52,,,,,50,,,,,55,,,,,53,,,,,
616,Poland,31.7,32.6,29.8,27.7,26,22.4,21.3,19.5,18.7,17.5,,16,15.4,14.7,13.9,13.5,13.8,,16.1,16.1,,
620,Portugal,24,23.6,22.8,22.6,21,20.1,20.1,20.1,,,,20.3,20.6,19.6,19.2,18.7,17,17.1,16.3,15.6,,
630,Puerto Rico,75.4,73.3,73.8,75.8,74.6,74.8,76.8,80.4,76,73.5,72.1,,61.7,58.6,63.1,59.8,59.1,56.6,54.5,,,
634,Qatar,55.1,47.6,45.6,44.3,38.8,,26.1,21.5,21,20.6,17,17.4,20.9,19.1,20.1,17.9,15.6,13.8,14,15.1,16.2,
498,Republic of Moldova,57.4,62.2,62.9,,,60.8,53.4,,39.8,36.5,34.3,32.3,29.1,27.7,27.1,29,26.2,,24.5,25.9,,
638,Reunion,44,,,49.7,38.3,38.9,35.6,23.7,36.3,35.6,37.8,40,39,35.5,36,42.6,43.9,42.8,,,,
642,Romania,51.5,50.2,48.1,47.8,45.4,42,40.2,41.4,41.1,,39.5,35.6,32.2,33,,33.7,35,35.3,39.3,40.7,,
643,Russian Federation,54,53.1,49.7,46.1,48,43.9,37.8,34.5,32.6,28.2,27.3,27,27.5,27.9,27.9,27.5,28.1,28.5,29.9,29.8,,
646,Rwanda,60.3,,,,,,45,,59.8,,,,40,44,,,42.5,,41,,,
654,Saint Helena,,,,,,,,,,,32.3,,,,,,,,,,,
659,Saint Kitts and Nevis,82.4,80.3,78.2,64.7,72.6,58.1,66.8,60.2,63.8,63.3,65.7,67.4,,,,,,,,,,
662,Saint Lucia,98.8,98.1,98,87.5,87.7,90,69.5,71.9,58.9,56.8,57.3,64.4,51.8,,49.3,,,,,,,
670,Saint Vincent and the Grenadines,,98.6,95.5,93.4,94.3,91.7,80.4,83.8,76.6,79.3,80.8,72.4,75.2,71.6,,,,,63.8,70,,
882,Samoa,,25,,,,,,,,,,33.6,,,,,28.6,,,,,
674,San Marino,,,3.9,1.3,3.7,3.6,,2.5,1.3,5.5,,,,5.3,1.3,,,,,,,
