CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
148,Chad,0.0245,0.0113,0.0138,0.015,0.0152,0.0147,0.0147,0.0153,0.0148,0.0152,0.0214,0.0202,0.0191,0.0416,0.0399,0.0409,0.0404,0.0445,0.0479,0.0406,0.0418
152,Chile,2.589,2.3964,2.4356,2.5468,2.7435,2.9465,3.3162,3.7851,3.8376,3.9972,3.8064,3.3809,3.5074,3.451,3.7222,3.7867,3.91,4.2778,4.2406,3.9672,4.2222
156,China,2.1488,2.2265,2.294,2.4217,2.5453,2.735,2.8244,2.8029,2.6616,2.6345,2.6831,2.7291,2.8728,3.4987,4.0661,4.428,4.8795,5.1395,5.2967,5.7623,6.1781
344,"China, Hong Kong Special Administrative Region",4.774,4.9328,5.6522,5.8807,5.1967,5.1464,4.6847,4.8103,5.9771,6.3882,5.9654,5.5605,5.4049,5.8729,5.6428,5.954,5.6425,5.8147,5.569,5.2942,5.145
446,"China, Macao Special Administrative Region",2.8745,2.9581,2.8712,3.0842,3.2737,3.1198,3.4955,3.6492,3.7515,3.6131,3.7859,3.8318,3.3929,3.3431,3.6735,3.816,3.3086,2.7763,2.2991,2.4511,1.8946
170,Colombia,1.7268,1.6875,1.7987,1.8216,1.8876,1.6354,1.6309,1.7183,1.7164,1.4452,1.4567,1.3921,1.355,1.376,1.2993,1.416,1.4404,1.4303,1.4762,1.5519,1.6347
174,Comoros,0.1758,0.1717,0.1676,0.1636,0.1596,0.1638,0.1302,0.1269,0.1368,0.1478,0.1493,0.1524,0.1551,0.1625,0.1646,0.1711,0.1832,0.1783,0.1793,0.1746,0.1892
178,Congo,0.4973,0.5155,0.6242,0.5965,0.8082,0.5731,0.6107,0.8105,0.2613,0.2687,0.3345,0.2683,0.2153,0.3224,0.3427,0.4121,0.3687,0.3852,0.3842,0.4782,0.5016
184,Cook Islands,1.249,1.2408,1.2284,1.2151,1.2053,1.2017,1.2057,1.2158,1.2277,1.6285,1.6265,1.8326,1.5837,1.7654,2.8834,3.1955,3.3572,3.3231,3.4967,3.4729,3.4503
188,Costa Rica,0.9628,1.0602,1.1759,1.1966,1.5568,1.4027,1.3351,1.367,1.4214,1.4415,1.397,1.4392,1.5493,1.5926,1.6364,1.6448,1.6972,1.9254,1.9122,1.703,1.6678
384,Cote d'Ivoire,0.4632,0.4354,0.3455,0.4264,0.3684,0.4859,0.5553,0.5276,0.4353,0.3858,0.4095,0.4574,0.4241,0.3128,0.4322,0.4342,0.3818,0.3691,0.3619,0.3026,0.2941
191,Croatia, , ,3.6557,3.549,3.6225,3.7723,3.9766,4.1718,4.4554,4.5134,4.36,4.6222,4.8986,5.2825,5.1797,5.2017,5.2269,5.5104,5.2884,4.8868,4.7428
192,Cuba,3.1541,2.7814,2.9214,2.7197,2.9683,2.3538,2.4623,2.2385,2.2159,2.2837,2.3449,2.2848,2.3347,2.2739,2.2256,2.3108,2.4329,2.3726,2.702,2.6549,3.4077
196,Cyprus,6.0692,6.0535,6.5904,6.6996,6.7319,6.4903,6.6016,6.6079,7.0392,6.9973,7.2618,7.1203,7.1662,7.7625,7.2199,7.2664,7.4303,7.7101,7.9434,7.4656,6.9841
203,Czech Republic,21.1359,19.4836,13.4806,12.7724,12.1912,12.1182,12.3988,12.5499,11.9514,10.9628,12.1693,12.1661,11.7727,11.9987,12.0283,11.813,11.9667,12.018,11.2759,10.3567,10.6502
180,Democratic Republic of the Congo,0.1118,0.0992,0.0918,0.083,0.0581,0.0673,0.0717,0.0631,0.0535,0.0464,0.0332,0.0307,0.0294,0.0314,0.0347,0.0388,0.0409,0.0428,0.0451,0.0424,0.0461
208,Denmark,9.6765,11.8744,10.5024,11.0102,11.7136,10.5364,13.0541,10.8108,10.5796,9.5726,8.851,9.1551,9.1734,10.351,9.3693,8.6907,10.1063,9.1885,8.5424,8.055,8.3427
262,Djibouti,0.7114,0.6877,0.6965,0.7108,0.6996,0.6847,0.6766,0.6609,0.5966,0.624,0.5506,0.5136,0.5227,0.522,0.577,0.5851,0.5925,0.5813,0.6124,0.61,0.6065
212,Dominica,0.8319,0.8328,0.8314,0.871,0.9811,1.135,1.0255,1.1433,1.0935,1.1571,1.4784,1.6415,1.4863,1.6474,1.5922,1.654,1.6012,2.1919,1.878,1.8845,2.0072
214,Dominican Republic,1.3303,1.381,1.497,1.5647,1.6305,2.0344,2.1785,2.2269,2.2443,2.231,2.3414,2.3189,2.4264,2.4332,2.0576,2.1212,2.2018,2.2482,2.1748,2.0744,2.1117
218,Ecuador,1.6407,1.5712,2.0795,2.2083,1.2206,2.0038,2.0624,1.5522,1.8587,1.751,1.6964,1.868,1.9338,2.0421,2.1696,2.2276,2.1766,2.2209,2.1107,2.1367,2.2562
818,Egypt,1.336,1.3583,1.3773,1.5521,1.3978,1.5423,1.6164,1.6854,1.8718,1.8868,2.0891,1.8211,1.8125,2.0695,2.0717,2.2534,2.3636,2.5004,2.5126,2.4822,2.5243
222,El Salvador,0.4909,0.5969,0.6236,0.6968,0.7822,0.9209,0.8452,0.9866,0.9888,0.9641,0.9668,0.997,1.0086,1.0906,1.0559,1.0667,1.127,1.1307,1.0679,1.0512,1.009
226,Equatorial Guinea,0.3236,0.5226,0.5402,0.249,0.0864,0.2983,0.2558,0.6201,0.3463,0.9385,0.8744,5.7614,8.9822,10.521,8.8472,7.7533,7.5938,7.4479,6.7988,6.783,6.6805
232,Eritrea, , , , ,0.0574,0.0925,0.1066,0.1583,0.1721,0.1751,0.166,0.1655,0.1522,0.1751,0.1783,0.1707,0.1208,0.1207,0.0837,0.1006,0.0976
233,Estonia, , ,15.0649,11.8555,12.053,11.1993,12.6405,12.5051,11.8734,11.0786,11.075,11.4439,11.0095,12.6128,12.768,12.4679,12.0458,14.0333,13.0329,10.9904,13.6742
231,Ethiopia,0.0624,0.0597,0.0574,0.0566,0.0539,0.0377,0.0634,0.0707,0.0809,0.0795,0.0889,0.064,0.0649,0.0699,0.0723,0.068,0.0713,0.0761,0.0802,0.082,0.0783
234,Faeroe Islands,13.0998,12.6396,14.2454,15.7498,14.152,16.6042,14.695,14.4242,14.8789,14.7992,15.5434,17.0844,16.2534,16.3675,16.6128,15.873,15.802,15.9351,14.7952,13.7172,14.5972
238,Falkland Islands (Malvinas),18.565,17.9437,17.2575,16.5252,15.8255,16.4002,17.316,18.1681,13.5185,13.1299,12.8428,15.0582,14.9558,16.2712,17.2706,17.2414,19.8854,19.8053,19.7127,19.6274,19.5559
242,Fiji,1.123,0.918,0.9699,1.0106,1.0683,1.1203,1.1405,0.9292,0.8792,0.9951,1.0656,1.3685,1.0241,1.0546,1.3832,1.6583,1.6424,1.4403,1.2778,0.9938,1.5001
246,Finland,10.3771,10.7297,9.5055,9.9909,11.3045,10.3424,11.9572,11.6733,11.0636,10.7367,10.0787,10.8818,11.7519,13.2208,12.8378,10.42,12.5708,12.0939,10.6451,9.9537,11.5283
250,France,7.0365,7.5087,6.9425,6.7774,6.411,6.7991,7.0297,6.5125,6.9935,6.32,6.1909,6.4964,6.3713,6.4401,6.4377,6.4278,6.2332,6.0877,5.9996,5.7158,5.7539
254,French Guiana,6.955,6.8864,6.9617,6.712,6.6491,6.5435,6.3158,6.0606,5.4821,4.2255,3.467,3.671,3.1267,3.9146,3.5765,3.2674,2.7632,3.1628,3.151,3.1049,3.0283
258,French Polynesia,3.2296,3.1986,3.1698,2.9688,2.5475,2.6506,2.6298,2.6617,2.592,2.4964,2.6553,3.0524,3.0082,3.2171,3.1317,3.339,3.2969,3.2256,3.2849,3.2613,3.2648
266,Gabon,5.214,1.5402,2.1497,3.2065,3.1751,3.5482,3.1613,3.0877,1.3855,1.1907,0.8516,1.4107,1.3777,1.0133,1.3146,1.5225,1.415,1.6381,1.0798,0.0548,1.7098
