CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
392,Japan,1094834,1100525,1123572,1108563,1174027,1183946,1205611,1201632,1159065,1198042,1219589,1202266,1216751,1237429,1259655,1238181,1231302,1251136,1206916,1100650,1170715
400,Jordan,10403,9798,12266,12101,13634,13557,14188,14419,14543,14569,15508,16003,16887,17470,19241,21027,20733,21540,20763,21254,20821
398,Kazakhstan, , ,261307,221105,199488,166731,140692,129581,125063,116493,127769,147908,151946,153816,172158,176947,192532,220313,230438,214087,248729
404,Kenya,5823,4840,5541,6348,6557,7554,9329,8265,10037,10172,10418,9369,7968,6755,7624,8562,9575,9831,10242,12350,12427
296,Kiribati,22,22,22,22,22,22,37,29,33,29,33,26,40,40,44,62,70,51,55,40,62
408,"Korea, Democratic People's Republic of",244835,251145,255414,262139,259642,259349,256683,234688,64928,71096,76699,79475,76109,77777,79482,83014,84557,70370,78081,74686,71624
410,"Korea, Republic of",246943,261483,284281,321952,344038,374771,403718,430007,364822,399846,447561,450194,465632,466215,482277,462918,470806,495837,508052,509376,567567
414,Kuwait,48313,10191,21085,33274,38907,54822,50154,54921,51745,54022,55181,55122,52753,61657,63534,71547,73769,75236,79959,81869,93696
417,Kyrgyzstan, , ,10862,8306,6051,4437,5589,5482,5823,4562,4529,3781,4848,5328,5699,5233,5145,5871,5680,6480,6399
418,Lao People's Democratic Republic,235,253,279,279,301,378,506,638,719,957,972,902,1177,1129,1423,1434,1580,1668,1742,1811,1874
428,Latvia, , ,13539,12108,11316,9641,9494,8364,8071,6828,6241,6854,6652,7088,7132,7176,7583,7928,7591,6824,7616
422,Lebanon,9098,9498,11357,11657,12743,13619,13799,15647,16179,16601,15354,16208,16039,18221,16835,16245,14499,14972,16656,20917,20403
426,Lesotho, , , , , , , , , , , , , , , , , ,7,18,26,18
430,Liberia,484,286,290,323,319,334,345,356,389,407,436,502,502,532,627,741,759,678,576,528,799
434,Libyan Arab Jamahiriya,36780,42864,37260,38947,44132,46021,44158,44976,45474,44620,47114,48100,47832,49167,50359,52108,53788,54209,60392,67674,59035
440,Lithuania, , ,22149,17495,17360,16204,15731,15339,16197,13693,12200,12919,13212,12915,13330,13993,14294,15137,15115,12578,13561
442,Luxembourg,10004,10612,10565,10788,10191,8317,8438,7939,7356,7686,8240,8801,9417,9905,11269,11544,11357,10869,10792,10249,10829
450,Madagascar,986,1074,1045,1071,1316,1313,1412,1701,1738,1925,1874,1742,1236,1701,1808,1742,1683,1815,1944,1822,2013
454,Malawi,612,660,656,693,719,730,711,759,829,997,906,906,884,957,975,917,953,953,1155,1060,1239
458,Malaysia,56593,68591,75298,91723,94011,121132,125375,124821,114187,107934,126603,136717,135129,160266,167333,177373,170648,205308,213221,203882,216804
