678,Sao Tome and Principe,28.1,28.1,28.1,28.1
682,Saudi Arabia,0.5,0.5,0.5,0.5
686,Senegal,48.6,46.2,45,44
688,Serbia,26.4,28.1,28.3,31
690,Seychelles,89.1,89.1,89.1,89.1
694,Sierra Leone,43.5,40.8,39.4,38.1
702,Singapore,2.9,2.9,2.9,2.9
703,Slovakia,40,39.9,40.2,40.2
705,Slovenia,59,61.2,61.7,62.2
90,Solomon Islands,83,81,80.1,79.1
706,Somalia,13.2,12,11.4,10.8
710,South Africa,7.6,7.6,7.6,7.6
724,Spain,27.7,34,34.6,36.4
144,Sri Lanka,36.4,32.2,29.9,28.8
275,State of Palestine,1.5,1.5,1.5,1.5
736,Sudan (former),32.1,29.7,29.6,29.4
740,Suriname,94.7,94.7,94.7,94.6
748,Swaziland,27.4,30.1,31.5,32.7
752,Sweden,66.5,66.7,68.7,68.7
756,Switzerland,28.8,29.9,30.4,31
760,Syrian Arab Republic,2,2.4,2.5,2.7
762,Tajikistan,2.9,2.9,2.9,2.9
764,Thailand,38.3,37.2,37,37.1
807,Macedonia,35.9,37.7,38.3,39.2
626,Timor-Leste,65,57.4,53.7,49.9
768,Togo,12.6,8.9,7.1,5.3
772,Tokelau,0,0,0,0
776,Tonga,12.5,12.5,12.5,12.5
780,Trinidad and Tobago,47,45.6,44.8,44.1
788,Tunisia,4.1,5.4,5.9,6.5
792,Turkey,12.6,13.2,14,14.7
795,Turkmenistan,8.8,8.8,8.8,8.8
796,Turks and Caicos Islands,79.1,79.1,79.1,79.1
798,Tuvalu,33.3,33.3,33.3,33.3
800,Uganda,24.1,19.6,17.4,15.2
804,Ukraine,16,16.4,16.5,16.8
784,United Arab Emirates,2.9,3.7,3.7,3.8
826,United Kingdom,10.8,11.5,11.7,11.9
834,Tanzania,46.8,42.3,40,37.7
840,United States,32.3,32.8,33,33.2
850,United States Virgin Islands,68.6,62.9,60,58.8
858,Uruguay,5.3,8.1,8.7,10
860,Uzbekistan,7.2,7.6,7.7,7.7
548,Vanuatu,36.1,36.1,36.1,36.1
862,Venezuela,59,55.7,54.1,52.5
704,Viet Nam,30.2,37.8,42.2,44.5
876,Wallis and Futuna Islands,42.9,42.9,42.9,40
732,Western Sahara,2.7,2.7,2.7,2.7
887,Yemen,1,1,1,1
894,Zambia,71,68.8,67.7,66.5
716,Zimbabwe,57.3,48.8,44.6,40.4
