CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
360,Indonesia,0.58,0.69,0.87,0.96,1.25,1.65,2.07,2.43,2.68,2.89,3.12,3.34,3.54,3.63,4.62,5.94,6.45,8.4,12.93,14.66,17.06,15.84,15.52
364,Iran,4.01,4.38,5.25,6.21,7.35,8.52,9.58,10.5,11.65,13.02,14.52,16.43,19.17,22.54,23.72,29.17,32.06,33.37,34.31,35.28,34.9,37.12,38.03
368,Iraq,4.1,3.75,3.88,3.58,3.31,3.15,3.05,3,2.9,2.92,2.83,2.75,4.47,4.57,3.89,4.08,4.43,4.71,3.63,5.37,5.43,5.49,5.55
372,Ireland,27.84,29.62,31.36,32.81,34.57,36.28,38.2,42.45,44.06,46.31,48.16,48.11,50.18,48.75,49.32,49.35,51.5,52.63,51.06,48.32,46.49,45.22,43.84
376,Israel,36.14,36.69,37.52,39.27,41.4,43.93,46.28,47.51,48.69,48.84,49.44,49.47,48.16,45.86,44.75,44.46,44.48,44.43,45.46,45.67,45.94,46.28,46.71
380,Italy,39.33,40.58,41.67,42.44,43.08,43.61,44.36,45.17,45.71,46.6,47.65,47.82,47.2,45.96,44.55,42.69,45.51,37.68,36.8,37.58,37.1,36.36,35.52
388,Jamaica,4.45,5.53,6.97,8.62,10.27,11.79,14.38,16.57,18.27,19.05,19.12,19.63,16.56,17.33,15.87,11.9,12.71,13.65,11.64,11.08,9.6,9.89,9.58
392,Japan,44.6,45.85,46.8,47.58,48.91,50.04,51.31,52.55,49.8,49.43,49.28,48.71,48.21,47.72,47.2,45.93,44.3,40.5,38.27,52.78,51.86,51.12,50.84
400,Jordan,7.2,7.37,7.31,7.22,7.51,7.23,7.66,8.78,10.91,11.9,12.84,13.44,13.49,12.21,12.24,11.76,11.17,9.86,8.87,8.32,7.85,7.35,6.73
398,Kazakhstan,8.07,8.63,9.07,12.13,12.33,12.33,12.2,11.66,11.63,11.67,12.26,13.02,13.97,14.9,16.94,17.85,19.12,20.92,22.09,24.34,25.32,26.32,26.5
404,Kenya,0.75,0.83,0.83,0.83,0.86,0.94,0.95,0.94,0.97,0.95,0.93,0.96,0.98,0.97,0.86,0.81,0.8,1.24,1.68,1.68,0.94,0.68,0.59
296,Kiribati,1.67,1.74,1.85,2.33,2.52,2.62,2.69,3.12,3.46,3.73,3.99,4.24,5.13,4.96,4.76,4.57,4.28,4.21,4.14,8.46,8.44,8.37,8.77
408,North Korea,2.48,2.44,2.4,2.36,2.33,2.3,2.27,2.24,2.22,2.2,2.18,3.73,3.94,4.18,4.24,4.21,4.19,4.91,4.89,4.87,4.85,4.83,4.81
410,South Korea,30.89,33.6,35.66,37.87,39.78,41.65,43.61,45.15,44.16,56,56.24,55.78,55.44,53.89,50.33,50.81,47.46,48.44,51.03,56.07,59.24,60.9,61.95
414,Kuwait,15.87,15.85,17.96,19.93,22.09,23.48,24.07,24.52,24.23,24.53,24.07,23.51,23.28,22.89,22.7,22.3,21.99,21.99,20.4,19.97,18.98,18.26,17.64
417,Kyrgyzstan,7.15,7.47,7.57,8.15,7.46,7.77,7.34,7.4,7.64,7.57,7.59,7.78,7.89,7.91,8.3,8.73,9.03,9.38,9.5,9.45,9.17,9.31,8.97
418,Lao People's Democratic Republic,0.16,0.17,0.19,0.19,0.39,0.35,0.4,0.49,0.56,0.67,0.77,0.97,1.13,1.25,1.32,1.58,1.58,1.6,2.12,1.64,1.66,1.71,1.76
428,Latvia,23.27,24.31,24.97,27,26.38,28.27,30.02,30.35,30.68,30.45,30.81,30.49,29.83,28.01,28.05,31.71,28.67,28.23,26.1,24.84,23.63,23.02,22.42
422,Lebanon,13.37,13.37,13.26,13.11,13,12.96,13.01,15.61,15.53,15.47,15.39,16.46,17.55,17.79,15.76,15.66,16.63,16.87,18,19.15,20.11,20.32,20.46
426,Lesotho,0.75,0.74,0.67,0.85,0.89,0.99,0.87,1.09,1.1,1.12,1.13,1.08,1.42,1.73,1.82,2.32,2.55,2.26,1.94,1.86,1.78,1.76,1.94
430,Liberia,0.44,0.16,0.22,0.22,0.22,0.21,0.2,0.27,0.26,0.24,0.24,0.23,0.23,,,,,0.06,0.05,0.06,0.15,0.08,0
