CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
246,Finland,31.5,,,,,,,33.5,33.5,33.5,37,36.5,36.5,36.5,37.5,37.5,37.5,38,41.5,41.5,40,40,42.5,42.5
250,France,6.9,,,,,,,6.4,10.9,10.9,10.9,10.9,10.9,12.2,12.2,12.2,12.2,12.2,18.2,18.2,18.9,18.9,18.9,26.9
266,Gabon,13.3,,,,,,,,8.3,8.3,8.3,9.2,,9.2,9.2,9.2,9.2,12.5,16.7,16.7,14.7,14.7,15.8,15.8
270,Gambia,7.8,,,,,,,,2,2,2,2,,13.2,13.2,13.2,13.2,9.4,9.4,9.4,7.5,7.5,7.5,7.5
268,Georgia,,,,,,,,6.8,6.9,6.9,7.2,7.2,7.2,7.2,7.2,9.4,9.4,9.4,9.4,6,5.1,6.5,6.6,12
276,Germany,,,,,,,,26.2,26.2,30.9,30.9,30.9,31.7,32.2,32.2,32.8,31.8,31.6,31.6,32.2,32.8,32.8,32.9,32.9
288,Ghana,,,,,,,,,9,9,9,,9,9,9,10.9,10.9,10.9,10.9,7.9,8.3,8.3,8.3,10.3
300,Greece,6.7,,,,,,,6.3,6.3,6.3,6.3,8.7,8.7,8.7,8.7,14,13,13,14.7,14.7,17.3,17.3,18.7,21
308,Grenada,,,,,,,,20,20,20,,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,13.3,13.3,13.3,13.3,13.3
320,Guatemala,7,,,,,,,12.5,12.5,12.5,7.1,8.8,8.8,8.8,8.2,8.2,8.2,8.2,12,12,12,12,13.3,13.3
324,Guinea,,,,,,,,7,7,8.8,8.8,8.8,8.8,19.3,19.3,19.3,19.3,19.3,19.3,,,,,
624,Guinea-Bissau,20,,,,,,,10,10,10,,7.8,7.8,7.8,,14,14,14,14,10,10,10,10,14
328,Guyana,36.9,,,,,,,20,,,18.5,18.5,20,20,20,30.8,30.8,29,29,30,30,30,31.3,31.3
332,Haiti,,,,,,,,3.6,3.6,3.6,3.6,,3.6,3.6,3.6,3.6,3.6,4.1,4.1,4.1,4.1,11.1,4.2,4.2
340,Honduras,10.2,,,,,,,7.8,,9.4,9.4,9.4,9.4,5.5,5.5,5.5,23.4,23.4,23.4,23.4,18,18,19.5,19.5
348,Hungary,20.7,,,,,,,11.4,11.4,8.3,8.3,8.3,8.3,9.8,9.8,9.1,9.1,10.4,11.1,11.1,11.1,9.1,8.8,8.8
352,Iceland,20.6,,,,,,,25.4,25.4,25.4,34.9,34.9,34.9,34.9,30.2,30.2,33.3,33.3,33.3,33.3,42.9,42.9,39.7,39.7
356,India,5,,,,,,,7.2,7.2,8.1,9,9,8.8,8.8,8.8,8.3,8.3,8.3,9.1,9.1,10.8,10.8,11,11
360,Indonesia,12.4,,,,,,,12.6,11.4,11.4,,8,8,8,8,11.3,11.3,11.3,11.6,11.6,18,18,18.2,18.6
364,Iran,1.5,,,,,,,4,4.9,4.9,4.9,3.4,3.4,4.1,4.1,4.1,4.1,4.1,4.1,2.8,2.8,2.8,2.8,3.1
368,Iraq,10.8,,,,,,,,6.4,6.4,6.4,7.6,7.6,7.6,,,25.5,25.5,25.5,25.5,25.5,25.2,25.2,25.2
372,Ireland,7.8,,,,,,,13.9,12,12,12,12,12,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.9,13.9,15.1,15.1
376,Israel,6.7,,,,,,,7.5,7.5,7.5,11.7,12.5,13.3,15,15,15,15,14.2,14.2,14.2,19.2,19.2,20,21.7
380,Italy,12.9,,,,,,,11.1,11.1,11.1,11.1,11.1,9.8,11.5,11.5,11.5,11.5,17.3,17.3,21.3,21.3,21.3,21.6,21.4
388,Jamaica,5,,,,,,,11.7,11.7,13.6,13.3,13.3,13.3,11.7,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.3,12.7,12.7
392,Japan,1.4,,,,,,,4.6,4.6,4.8,4.6,7.3,7.3,7.3,7.1,7.1,9,9.4,9.4,9.4,11.3,11.3,10.8,7.9
400,Jordan,0,,,,,,,1.3,0,0,0,0,1.3,1.3,5.5,5.5,5.5,5.5,6.4,6.4,6.4,10.8,10.8,12
398,Kazakhstan,,,,,,,,13.4,13.4,13.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,15.9,15.9,17.8,17.8,24.3,24.3
404,Kenya,1.1,,,,,,,3,,3.6,3.6,3.6,3.6,7.1,7.1,7.1,7.1,7.3,7.2,9.8,9.8,9.8,9.8,9.8
296,Kiribati,0,,,,,,,0,0,0,4.9,4.9,4.8,4.8,4.8,4.8,4.8,7.1,4.3,4.3,4.3,4.3,8.7,8.7
