CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
352,Iceland,,0.96,0.97,0.98,0.98,0.97,0.97,,1.01,1.05,1.07,1.06,1.06,1.07,1.03,1.02,1.03,1.06,1.03,1.03,1.02,
356,India,,,,0.63,0.64,0.64,0.65,0.67,,0.7,0.71,0.72,0.74,0.81,0.81,0.82,0.83,0.86,0.88,0.91,0.92,
360,Indonesia,0.83,0.82,0.83,0.81,0.84,0.85,0.86,,,,0.95,0.98,0.99,0.99,0.99,0.99,1,1,0.99,0.99,1,1
364,Iran,0.71,0.74,0.76,0.78,0.8,0.84,,0.91,,0.93,0.94,0.94,0.94,0.94,0.96,0.96,0.97,1.01,0.98,0.97,0.96,0.96
368,Iraq,,,,0.64,,,0.64,,,0.64,0.62,0.61,0.61,0.72,0.67,,,0.75,,,,
372,Ireland,1.1,1.09,1.09,1.04,1.05,1.06,1.07,1.08,1.06,1.06,1.08,1.09,1.09,1.08,1.08,1.09,1.08,1.08,1.07,1.06,1.05,1.03
376,Israel,1.06,1.05,1.04,1.05,1.04,,,,,0.99,1,0.99,0.99,0.98,1,0.99,1,1,1.02,1.02,1.02,
380,Italy,1,1,1,0.99,0.99,0.99,1,1,0.99,0.99,0.96,0.98,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99,
388,Jamaica,,1.06,,1.05,,,,,,1.01,1.02,1.02,1.02,1.02,1.02,1.04,,1.05,1.05,1.01,1.03,
392,Japan,1.02,1.02,1.02,1.02,1.02,1.01,,,1.01,1.01,1.01,1.01,1.01,1.01,1,1,1,1,1,1,1,
400,Jordan,1.03,1.02,1.07,1.08,1.07,,1.04,,,1.04,1.04,,1.04,1.03,1.02,1.03,1.03,1.04,1.04,,1.06,
398,Kazakhstan,,,,1.02,,,,1.11,1.05,1,1.02,0.98,0.98,1.01,0.98,0.98,0.98,0.99,0.98,0.97,0.97,0.97
404,Kenya,,,,,,,,,,0.96,0.95,0.94,0.96,1.02,0.93,0.95,0.93,0.87,0.92,0.9,,
296,Kiribati,0.94,1.07,1.07,,,1.24,1.21,,,1.23,1.27,1.19,1.16,1.18,1.18,1.14,1.19,1.18,1.11,,,
410,"Korea, Republic of",0.95,0.97,0.98,0.99,0.98,1,1.01,1.01,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
414,Kuwait,0.9,,0.96,0.96,0.99,1.01,1,1.04,1.05,1.03,1.04,1.05,1.05,1.05,1.07,1.09,1.05,1.03,1.07,,,
417,Kyrgyzstan,0.99,1.02,1.03,,,,,,,1.02,1.03,1,1,1.01,1,1,1,1,1,1,0.99,1
418,Lao People's Democratic Republic,0.69,,0.66,0.63,0.65,0.66,0.67,0.67,0.69,0.7,0.7,0.72,0.73,0.74,0.75,0.76,0.78,0.79,0.81,0.82,0.83,0.85
428,Latvia,,1.02,1.04,1.03,1.07,1.07,1.08,1.07,1.04,1.04,1.03,1.02,1,0.99,0.99,1,1,1.02,1.02,1.01,0.98,0.96
422,Lebanon,,,1.07,,1.06,1.11,1.09,1.09,1.09,1.09,1.08,1.1,1.09,1.08,1.09,1.1,1.1,1.12,1.11,1.11,1.12,1.11
426,Lesotho,1.47,1.43,1.46,1.45,1.47,,1.44,1.43,1.5,1.36,1.32,1.28,1.29,1.28,1.27,1.27,1.28,1.33,1.36,1.4,1.38,1.4
430,Liberia,,,,,,,,,,0.65,0.73,,,,,,,,,,,0.81
434,Libyan Arab Jamahiriya,,,,,,,,,,,,,1.06,1.06,,1.19,1.18,,,,,
438,Liechtenstein,,,,,,,,,,,,,,0.86,0.89,,0.87,0.88,0.87,0.86,0.85,0.83
440,Lithuania,,,,0.98,,1.05,1.04,1.03,1.01,1,0.99,0.99,0.98,0.98,0.99,0.99,1,1,1,1,0.98,0.97
442,Luxembourg,,,1.03,1.05,1.04,1.01,1.04,1.07,1.05,1.05,1.06,1.07,1.06,1.06,1.05,1.06,1.04,1.03,1.02,,1.03,
450,Madagascar,0.95,,,,,,,,,,,,,,,0.96,0.95,0.95,0.95,0.94,,
