CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
180,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,59.7,,,,
262,Djibouti,,,,,,,2.6,,,,,,,,,,,,,,
214,Dominican Republic,,,3.5,,,,4.5,5.2,,,3.3,,,4.6,,3.7,2.9,3.1,,,
218,Ecuador,,,,,14.2,,,,12.9,,,,,10.1,,8.6,,4.1,,3.8,
818,Egypt,,3.1,,,,,1.7,,,,1.2,,,,,1.3,,,,,
222,El Salvador,,,,,,10.3,11.6,10.1,10.4,,9.7,,10.6,11.2,,8.4,,,3.8,,
226,Equatorial Guinea,,,,,,,,,,,,,,,,3.4,,,,,
232,Eritrea,,,,,,,,,,,,,,,,35.3,,,,,
231,Ethiopia,,,,,,55.1,,,,50.9,,,,,34.9,,,,,,
242,Fiji,,,,,,,,,,,,,,,,18.5,,,,,
266,Gabon,,,,,,,,,,,,,,,,3.6,,,,,
270,Gambia,,,,,,,,,63.5,,,,,32.4,,,,,,,
268,Georgia,,,,,,,,,,,,,11.4,12.7,,10,,,10.7,,
288,Ghana,,,46,,,,,,34.6,,,,,,,,25.8,,,,
320,Guatemala,,,,,,,,,12,,10.1,,12.3,,,,,,,,
324,Guinea,,96.6,,,,,,,,,,,,72.2,,,,44.4,,,
624,Guinea-Bissau,,,,48.9,,,,,,,,,46.2,,,,,,,,
328,Guyana,,,,5.6,,,,,7,,,,,,,,,,,,
332,Haiti,,,,,,,,,,,,48.5,,,,,,,,,
340,Honduras,,,28.5,,24.1,,,13.6,,12.2,,,,14.8,,18,,18.6,,,
356,India,,,,,49.1,,,,,,,,,,,39.2,,,,,
360,Indonesia,,,,52.6,,,41.1,,,45,,,27.4,,,19.8,,,,,
364,Iran,,,,,0.9,,,,0.8,,,,,,,0.9,,,,,
368,Iraq,,,,,,,,,,,,,,,,,,2.2,,,
388,Jamaica,,,,2.9,,,1.3,,,0.9,,,0,,0,,,,,,
400,Jordan,,,2.2,,,,,1.4,,,,,,1,,,0,,,,
398,Kazakhstan,,,,2.7,,,3.2,,,,,,3.2,1.9,,,,0,,,
404,Kenya,,,31.5,,23.2,,,15.7,,,,,,,,15.4,,,,,
408,"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,30.7,,,,,
417,Kyrgyzstan,,,,14.8,,,,,25.4,,,,26.5,,16.9,,,1.5,,,
418,Lao People's Democratic Republic,,,57.1,,,,,49.9,,,,,43.2,,,,,,31.5,,
426,Lesotho,,,,42.6,35.4,,,,,,,,,33.5,,,,,,,
430,Liberia,,,,,,,,,,,,,,,,,,83.8,,,
450,Madagascar,,,,68.2,,,,68.2,,78.2,,72.3,,,,64.1,,,,,
454,Malawi,,,,,,,,,78.4,,,,,,70.7,,,,,,
458,Malaysia,,,1.4,,,1.7,,0,,,,,,,0,,,,,0,
462,Maldives,,,,,,,,,26.1,,,,,,1.3,,,,,,
466,Mali,,,,,88.9,,,,,,,61.6,,,,,51.3,,,,
478,Mauritania,,,,35.3,,,19.2,,,,17.4,,,,,,,,,,
484,Mexico,,,3.3,,2.4,5.6,5.1,,5.8,,3.5,,2.7,,1.7,,0,,1.3,,
496,Mongolia,,,,,,14.3,,,,,,,11.3,,,,,,,,
504,Morocco,,,,,,,,,5.5,,,5,,,,,,2,,,
508,Mozambique,,,,,,,,80.9,,,,,,73.6,,,,,58,,
104,Myanmar,,,,,,,,,,,,,,,,31.1,,,,,
516,Namibia,,,,36.4,,,,,,,,,,,,,,,,,
524,Nepal,,,,,,,63.9,,,,,,,50.4,,,,,,,
558,Nicaragua,,,,27.3,,,,,18.1,,,15.8,,,,12.8,,,,,
562,Niger,,,,66.9,71.9,,,,,,,,,,,61.7,,40.3,,,
566,Nigeria,,,45.2,,,,62.8,,,,,,,,58.2,,,,,,
586,Pakistan,,57.4,,,,,,42.3,,,,,31.1,,,19.3,19.2,,,,
591,Panama,,11.1,,,,7.6,8.2,4.8,,,7.6,9.1,7.1,,6,,6.2,,,1.5,
598,Papua New Guinea,,,,,,,34,,,,,,,,,,,,,,
600,Paraguay,,,,,,10.3,,,15.8,11.5,,,13.7,,,7.2,,5.4,4,,
604,Peru,,,,,,,,,,,,13.3,11.1,6.4,,7.1,6.9,,,5.1,
608,Philippines,,26.8,,,24.5,,,18.6,,,19.2,,,18.7,,,19,,,,
498,Republic of Moldova,,,12.6,,,,,11.4,,33.5,,24.8,12.7,,6,,,,1.3,,
643,Russian Federation,,,,1,,,1.9,,,1.5,,0.6,0,,,0,,,0,,
646,Rwanda,,,,,,,,,,,75.5,,,,,72.8,,,,,
686,Senegal,,69.4,,,56.9,,,,,,,45.8,,,,34.4,,,,,
694,Sierra Leone,,,,,,,,,,,,,,54.1,,,,,,,
90,Solomon Islands,,,,,,,,,,,,,,,,21.5,,,,,
706,Somalia,,,,,,,,,,,,,,,,36.4,,,,,
710,South Africa,,,,11.3,,10.6,,,,,12.5,,,,,,8.3,,,,
144,Sri Lanka,,13.2,,,,,14,,,,,,11.7,,,,,5.8,,,
740,Suriname,,,,,,,,,,11.2,,,,,,,,,,,
748,Swaziland,,,,,,64.9,,,,,,50.6,,,,,,,,,
760,Syrian Arab Republic,,,,,,,,,,,,,,,1.1,,,,,,
762,Tajikistan,,,,,,,,,,39.6,,,,33,19.5,,,,,,
764,Thailand,,,4.4,,,,1.5,,0,1.2,1.1,,0.5,,0,,,,,,
807,The former Yugoslav Republic of Macedonia,,,,,,,,,0,,2.7,,0,0,,,,,0,,
768,Togo,,,,,,,,,,,,,,,,,35.8,,,,
780,Trinidad and Tobago,,,2.8,,,,,,,,,,,,,,,,,,
788,Tunisia,,,,,,4.2,,,,,1.6,,,,,,,,,,
792,Turkey,,,,,1.2,,,,,,,,1,,1.8,1.4,,,,,
795,Turkmenistan,,,,47.9,,,,,19,,,,,,,,,,,,
800,Uganda,,,66,,,,60.4,,,56.6,,,53.5,,,47.8,,,,,34.5
804,Ukraine,,,0,,,,1.4,,,1.4,,,0,,,0,,,0,,
834,United Republic of Tanzania,,,70,,,,,,,,84.4,,,,,,,64,,,
858,Uruguay,,,,,,,,,,,,,,,,,0,,,0,
860,Uzbekistan,,,,,,,,,,,,,32.4,35.3,,,,,,,
862,Venezuela,,,,,,,10.8,,10.2,,,,,13.5,,7.8,2.1,,,,
704,Viet Nam,,,,66.7,,,,,49.9,,,,38.8,,22.7,,20.2,,12,,
887,Yemen,,,,,,,,,8.1,,,,,,,11.2,,,,,
894,Zambia,,54.7,,58.3,,,56.5,,51.2,,,,,59.2,58.9,,,,,,
716,Zimbabwe,,,,,,,,,,,,,,,,67.3,,,,,
