CountryCode,Country,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
368,Iraq,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,0.84, , , , , 
388,Jamaica,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,1.01, , , , , , 
398,Kazakhstan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
404,Kenya,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , ,0.74, ,0.94, , ,0.95, , , , , , , , 
417,Kyrgyzstan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
426,Lesotho,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.87, , , ,0.95, , , , ,0.98, , 
430,Liberia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , ,0.85, , , , 
450,Madagascar,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,0.73, , , , ,0.55, , , , , , ,0.75, , , , ,0.74, , 
454,Malawi,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,0.51, , , , , , , ,0.93, , , ,0.96, ,0.97, , , ,0.97, 
466,Mali,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , ,0.71, , , , ,1.04, , , , ,0.87, , , ,0.92, 
478,Mauritania,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , ,0.69, , , , , ,0.66, , , , 
496,Mongolia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,0.96, , , , ,1.02, 
499,Montenegro,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
508,Mozambique,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , ,0.47, , , , , ,0.8, , , , ,0.89,0.83, , 
516,Namibia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,1.06, , , , , , , ,0.92, , , , , , ,1, , , , 
524,Nepal,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , , , , , ,0.72
558,Nicaragua,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , ,0.81, , ,1.06, , , , , , , , , , 
562,Niger,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,0.4, , , , , , , , , , , , , ,0.67, , , , , 
566,Nigeria,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , ,0.87, , , ,0.64, , , , ,1.17, , , 
604,Peru,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.85, , , , , , , , , , , 
608,Philippines,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , ,0.94, , , , , , , , , , , , , , , , , , 
498,Republic of Moldova,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
646,Rwanda,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.83, , , , ,0.82, , , , ,0.91, 
686,Senegal,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , ,0.2, , , , , , ,0.74, , , , ,0.83, , , , , ,0.97
688,Serbia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
694,Sierra Leone,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.71, , , , ,0.83, , ,0.62, ,0.88, 
706,Somalia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,0.78, , , , , 
710,South Africa,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , , ,1.01, , , 
728,South Sudan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , , , , ,0.78, 
729,Sudan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.96, , , , , , , , , , , 
740,Suriname,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
748,Swaziland,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.91, , , , , , ,0.97, , ,0.99, 
760,Syrian Arab Republic,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
762,Tajikistan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
764,Thailand,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,0.93, , , , , 
807,The former Yugoslav Republic of Macedonia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
626,Timor-Leste,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , , , , ,0.75, 
768,Togo,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , ,0.87, ,0.96, , , , , ,0.94, , , ,0.86, 
780,Trinidad and Tobago,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
795,Turkmenistan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
800,Uganda,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , ,0.96, , , , , ,0.95, , ,0.95,0.94,0.96, , , , ,0.87
804,Ukraine,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,0.98, , , , , , 
834,United Republic of Tanzania,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,0.59, , , ,0.87, , ,0.74, , , ,0.82, ,1.02, , ,0.97, ,0.92, 
860,Uzbekistan,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
548,Vanuatu,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , ,, , , , 
704,Viet Nam,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
894,Zambia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , ,0.91, , , ,0.88, , , ,0.98, ,0.91,0.92, ,1.03, ,0.93, ,0.92, , 
716,Zimbabwe,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , ,0.99, , , , ,0.85, , , ,0.96, , ,0.95, , , , ,0.92
