CountryCode,Country,1990,Footnotes,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
203,Czech Republic,,,,,,10.4,,,10.2,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,5.5,,,,,
208,Denmark,,,,,,,,,,8.3,,,,,,,,,,,,,,
262,Djibouti,,,,,,,,,,,,,,,6,,,,,,,,,
214,Dominican Republic,,,,,4.3,,,,4.3,4,,,3.7,4.1,3.8,3.8,3.9,3.8,4,4.4,4.5,4.5,4.7,
218,Ecuador,,,,,,,2.9,3.6,,,3,2.2,3,,,3,,3.1,3.6,3.3,3.7,3.9,4.3,
818,Egypt,,,,8.7,,,,,9.5,,,,9,,,,,9,,,9.2,,,
222,El Salvador,,,,2.6,,,,3.7,3.5,,2,2.5,,2.3,2.3,2.7,3.2,3,4.6,4.2,4.5,3.7,,
233,Estonia,,,,,,6.4,,8.1,,,7,,6.6,6.9,6.7,6.7,6.8,,,,,,,
231,Ethiopia,,,,,,,,7.2,,,,,9.2,,,,,9.3,,,,,,8
242,Fiji,,,,,,,,,,,,,,,,4.1,,,,,,6.2,,
246,Finland,,,,,,,,,,,,,9.6,,,,,,,,,,,
250,France,,,,,,,,7.2,,,,,,,,,,,,,,,,
266,Gabon,,,,,,,,,,,,,,,,,,6.2,,,,,,
270,Gambia,,,,,,,,,,,4,,,,,4.8,,,,,,,,
268,Georgia,,,,,,,,,6.1,5,6.1,5.3,5.3,5.6,5.6,5.5,,5.4,5.5,6,5.3,,5,
276,Germany,,,,,,,,,,,,,8.5,,,,,,,,,,,
288,Ghana,,,,,6.7,,,,,,5.6,,,,,,,,5.2,,,,,
300,Greece,,,,,,,,,,,,,6.7,,,,,,,,,,,
320,Guatemala,,,,,,,,,,,3.1,,3.5,,1.7,2,2.1,,3.1,,,,,
324,Guinea,,,,3.1,,,5.2,,,,,,,,,6.4,,,,6.4,,,,
624,Guinea-Bissau,,,,2.1,,5.2,,,,,,,,,7.3,,,,,,,,,
328,Guyana,,,,,,4.3,,,,,4.5,,,,,,,,,,,,,
332,Haiti,,,,,,,,,,,,,,2.4,,,,,,,,,,
340,Honduras,2.8,5,G,3.7,3.9,3.6,3.2,3.1,2.9,3.5,2.1,2.3,,2.7,1.7,2.2,2.2,1.9,2.1,2.8,1.5,2,,
348,Hungary,,,,,,9.7,,,,,9.9,9.5,9.6,9.4,9.5,,8.6,,,8.4,,,,
356,India,,,,,,,9.1,,,,,,,,,,,8.6,,,,,8.5,
360,Indonesia,9.4,4,G,,,9.5,,,9,,,9.6,,,9.5,,,8.3,,,,,7.6,
364,Iran,5.2,3,G,,,,5.5,,,,5.2,,,,,,,6.4,,,,,,
368,Iraq,,,,,,,,,,,,,,,,,,,,8.7,,,,
372,Ireland,,,,,,,,,,,,,7.4,,,,,,,,,,,
376,Israel,,,,,,,,,,,,,,5.7,,,,,,,,,,
380,Italy,,,,,,,,,,,,,6.5,,,,,,,,,,,
388,Jamaica,5.9,3,G,,,6.8,,,6.4,,,5.5,,,4.8,,5.4,,,,,,,
392,Japan,,,,,,10.6,,,,,,,,,,,,,,,,,,
400,Jordan,,,,,6,,,,,7.6,,,,,,6.7,,,7.3,,8.1,,7.7,
398,Kazakhstan,,,,,,7.5,,,6.8,,,,,5.5,7.2,7.4,8,,8.8,8.7,9.2,9.1,,
404,Kenya,,,,,3.4,,5.6,,,6,,,,,,,,4.8,,,,,,
410,"Korea, Republic of",,,,,,,,,,,7.9,,,,,,,,,,,,,
417,Kyrgyzstan,,,,,,2.5,,,,,7.2,,,,8.4,,7.7,6,7.8,8.8,6.4,6.8,6.8,7.7
418,Lao People's Democratic Republic,,,,,9.3,,,,,8,,,,,8.6,,,,,,7.6,,,
428,Latvia,,,,,,9.6,,8,7.7,7.6,7.3,,,,6.9,6.6,6.8,,,6.7,6.6,7,,
426,Lesotho,,,,,,2.6,1.5,,,,,,,,,3,,,,,,,,
430,Liberia,,,,,,,,,,,,,,,,,,,,6.4,,,,
440,Lithuania,,,,,,8,,,7.8,,8.2,,7.9,7.7,7.7,,6.8,,,,6.6,,,
442,Luxembourg,,,,,,,,,,,,,8.4,,,,,,,,,,,
450,Madagascar,,,,,,5.1,,,,6.1,,5.9,,4.9,,,,6.2,,,,,5.4,
454,Malawi,,,,,,,,,,,4.8,,,,,,7,,,,,,5.6,
458,Malaysia,,,,,4.7,,,4.5,,4.4,,,,,,,6.5,,,4.7,,4.5,,
462,Maldives,,,,,,,,,,,1.6,,,,,,6.5,,,,,,,
466,Mali,,,,,,,4.6,,,,,,,6.1,,,,,6.5,,,,8,
584,Marshall Islands,,,,,,,,,,,,1.1,,,,,,,,,,,,
478,Mauritania,,,,,,5.2,,,6.4,,,,6.2,,,,6.3,,,,6,,,
484,Mexico,,,,,4.1,,4.1,,4.4,,4.1,,4,,4.4,,4.6,,4.8,,4.7,,4.9,
583,Micronesia,,,,,,,,,,,,,1.6,,,,,,,,,,,
496,Mongolia,,,,,,,,7.4,,,7.7,,,,7.5,,,,,,7.1,,,
499,Montenegro,,,,,,,,,,,,,,,,,,8.5,8.6,8.1,8.5,,8.8,
504,Morocco,,,,6.6,,,,,,,,6.5,,6.5,,,,,,6.5,,,,
508,Mozambique,,,,,,,,,5.6,,,,,,,5.4,,,,,5.2,,,
516,Namibia,,,,,,1.5,,,,,,,,,,,3.2,,,,,,,
524,Nepal,,,,,,,,,7.9,,,,,,,6.5,,,,,,,8.3,
528,Netherlands,,,,,,,,,,,,7.6,,,,,,,,,,,,
554,New Zealand,,,,,,,,,,6.5,,,,,,,,,,,,,,
558,Nicaragua,,,,,,4.2,,,,,5.4,,,5.6,,,,6.2,,,,,,
562,Niger,,,,,7.5,,6,,,,,,,,,,,5.9,,,8.1,,,
566,Nigeria,,,,,4,,,,5,,,,,,,,5.1,,,,,,4.4,5.9
578,Norway,,,,,,,,,,,,,9.6,,,,,,,,,,,
586,Pakistan,,,,8.1,,,,,,10,,8.7,,,9.4,,,9.2,9,,9.6,,,
591,Panama,,,,1.2,,,,1.4,,1.6,1.6,,,1.9,2.5,2.5,2.6,2.7,2.5,,,3.6,3.3,
598,Papua New Guinea,,,,,,,,,4.5,,,,,,,,,,,,,,,
600,Paraguay,5.8,5,G,,,,,2.4,,,2.1,2.2,,2.7,2.5,2.8,3.4,3.4,3,3.3,3.7,3.3,3.3,
604,Peru,,,,,,,4.9,,,7.6,2.8,2.8,3.4,3.1,3,3.4,4,3.9,3.8,3.4,3.8,3.8,3.9,
608,Philippines,,,,5.9,,,6,,,5.4,,,5.4,,,5.4,,,5.6,,,6,,
616,Poland,,,,,9.2,6.5,,,8.2,,8,7.9,7.8,7.8,7.6,,6.9,7.3,7.5,7.6,7.6,7.7,7.7,7.9
620,Portugal,,,,,,,,,,5.8,,,,,,,,,,,,,,
634,Qatar,,,,,,,,,,,,,,,,,,,,3.9,,,,
498,Republic of Moldova,,,,,6.9,,,,,6.5,6,6.4,,6.7,6.8,7.5,7.3,7,6.9,7.1,7.2,7.3,7.8,
642,Romania,,,,,9.2,,8.9,,,,8.7,,8.2,8.1,7.9,8.1,8,8,8,7.9,8.1,8.3,9.6,8.8
643,Russian Federation,,,,,,4.4,,,4.4,,,6.2,,6.1,6.9,6.6,6.6,6.5,5.7,5.7,6,6.5,,
646,Rwanda,,,,,,,,,,,,,4.8,,,,,,4.6,,,,,5.2
662,Saint Lucia,,,,,,,,5.2,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,,,,,,,,,,,,,,5.2,,,,,,,,,,
686,Senegal,,,,3.5,,,6.5,,,,,,,6.6,,,,6.2,,,,,,6.1
688,Serbia,,,,,,,,,,,,,,,8,7.8,7.8,7.5,8.4,8.6,9.1,8.9,8.4,
690,Seychelles,,,,,,,,,,,,,5.7,,,,,,,3.7,,,,
694,Sierra Leone,,,,,,,,,,,,,,,,6.1,,,,,,,,7.8
702,Singapore,,,,,,,,,,,5,,,,,,,,,,,,,
703,Slovakia,,,,,11.9,,,,8.7,,,,,,,,9.2,8.9,9.6,9.7,9.9,10.1,,
705,Slovenia,,,,,,9.3,,,,,9.1,,,,8.7,8.1,8.2,,,,,,,
710,South Africa,,,,,,3,,3.6,,,,,3.1,,,,,,2.5,,,2.7,,
724,Spain,,,,,,,,,,,,,7,,,,,,,,,,,
144,Sri Lanka,,,,8.7,,,,,8,,,,,,6.8,,,,,6.9,,,7.7,
275,State of Palestine,,,,,,,,,,,,,,,,,,,,6.5,,7.4,,
736,Sudan (former),,,,,,,,,,,,,,,,,,,,,,6.8,,
740,Suriname,,,,,,,,,,,,3.2,,,,,,,,,,,,
748,Swaziland,,,,,,,,2.7,,,,,,4.5,,,,,,,,,4.1,
752,Sweden,,,,,,,,,,,,,9.1,,,,,,,,,,,
756,Switzerland,,,,,,,,,,,,,7.6,,,,,,,,,,,
760,Syrian Arab Republic,,,,,,,,,,,,,,,,,7.7,,,,,,,
762,Tajikistan,,,,,,,,,,,,8.4,,,,7.9,7.8,,,7.3,,8.3,,
764,Thailand,5.9,3,G,,5.4,,6.1,,6.2,,6.4,6.1,6.2,,6.3,,,,6.1,,6.6,6.7,6.8,
807,The former Yugoslav Republic of Macedonia,,,,,,,,,,,8.5,,6.5,,6,6.1,6,5.8,5.3,,5.4,5.1,4.9,
768,Togo,,,,,,,,,,,,,,,,,,,7.6,,,,,6
780,Trinidad and Tobago,,,,,5.5,,,,,,,,,,,,,,,,,,,
788,Tunisia,5.9,3,G,,,,,5.7,,,,,6,,,,,5.9,,,,,6.7,
792,Turkey,,,,,,,5.8,,,,,,,,5.6,5.4,5.3,5.2,5.5,5.7,5.7,,5.5,
795,Turkmenistan,,,,,,6.9,,,,,6.1,,,,,,,,,,,,,
800,Uganda,,,,,6,,,,7.3,,,5.9,,,5.7,,,,6.1,,,5.8,,
804,Ukraine,,,,,9.5,,,6.2,7.1,,,8.8,,,8.9,9.2,9,9,8.7,8.8,9.4,9.7,9.9,
826,United Kingdom,,,,,,,,,,,,6.1,,,,,,,,,,,,
834,United Republic of Tanzania,,,,,7.4,,,,,,,,7.3,,,,,,,6.8,,,,
840,United States,,,,,,,,,,,,,5.4,,,,,,,,,,,
858,Uruguay,,,,,5.7,,,5.1,5,5,4.7,,4.7,4.5,4.4,4.8,4.4,4.5,4.6,4.5,4.7,4.7,4.9,
860,Uzbekistan,,,,,,,,,,,3.9,,,,7.8,7.1,,,,,,,,
862,Venezuela,,,,,5.1,,,4.1,,,3.7,3.8,,4,3.3,3.3,3.4,2.8,4.3,,,,,
704,Viet Nam,,,,,,7.8,,,,,8,,,,7.5,,7.2,,7.2,,7.4,,,
887,Yemen,,,,,,,,,,,7.4,,,,,,,7.2,,,,,,
894,Zambia,,,,,,3,,,4.2,,3.4,,,,,6.2,3.6,,3.6,,,,3.6,
716,Zimbabwe,,,,,,,,4.6,,,,,,,,,,,,,,,,
